# id	left	top	right	bottom	texture_id
[SPRITES]
# PINK
80001	86	73	101	88	50
80002	104	73	119	88	50
80003	122	73	137	88	50
80004	86	91	101	106	50
80005	104	91	119	106	50
80006	122	91	137	106	50
80007	86	109	101	124	50
80008	104	109	119	124	50
80009	122	109	137	124	50

# GREEN
80011	206	109	221	124	50
80012	224	109	239	124	50
80013	242	109	257	124	50
80014	206	127	221	142	50
80015	224	127	239	142	50
80016	242	127	257	142	50
80017	206	145	221	160	50
80018	224	145	239	160	50
80019	242	145	257	160	50

# BLUE
80021	386	55	401	70	50
80022	404	55	419	70	50
80023	422	55	437	70	50
80024	386	73	401	88	50
80025	404	73	419	88	50
80026	422	73	437	88	50
80027	386	91	401	106	50
80028	404	91	419	106	50
80029	422	91	437	106	50

# White
80031	26	109	41	124	50	
80032	44	109	59	124	50
80033	62	109	77	124	50
80034	26	127	41	142	50
80035	44	127	59	142	50
80036	62	127	77	142	50
80037	26	145	41	160	50
80038	44	145	59	160	50	
80039	62	145	77	160	50


# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
